seed,benchmark_label,target_mode,method,comparison_group,diagnostic_notes,schedule,refined_schedule,refinement_candidate_schedule,schedule_repair,refined_schedule_source,objective,nominal_error,worst_error,robust_degradation,active_fraction,refinement_candidate_active_fraction,refined_active_fraction,smoothness,solver_true_evaluations,shared_qubo_training_evaluations,total_true_evaluations_including_training,true_evaluations,runtime_seconds,refinement_mode,refinement_success,refined_nominal_error,refined_worst_error,refined_selected_worst_error,refined_all_mask_worst_error,refinement_nfev,refinement_runtime_seconds,refined_nominal_fuel,refined_recovery_fuel_mean,refined_recovery_fuel_max,best_initial_guess,selected_outage_indices,selected_outage_errors,all_outage_errors,recovery_indices,refined_controls,refined_recovery_controls,active_target_penalty,active_target_deviation,target_active_fraction,target_active_weight,qubo_fit_path,qaoa_expected_qubo_energy,qaoa_angle_optimizer,qaoa_depth
11,q1_catalog_halo_phase_shift_cardinality_prior,catalog_halo_phase_shift,surrogate_qubo_sa,qaoa_depth_ablation,,111011111111,111011111111,111011111111,identity,original solver candidate schedule,0.8325831666823303,0.3847893829985838,0.41344420266207643,0.028654819663492648,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.18181818181818182,24,96,120,120,0.2040668999979971,branch_recovery,True,0.06426221533116859,0.08918526287155164,0.08918526287155164,0.09864826621167301,35,36.61132530000759,0.09166666666666667,0.08333333333333333,0.08333333333333333,feedback,[6],[0.08918526287155164],"[0.09864826621167301, 0.096535165065391, 0.09464095490539474, 0.06426221533116859, 0.09142264811470503, 0.09007215355666426, 0.08918526287155164, 0.08801950829022738, 0.08724029679768151, 0.08663658604226952, 0.08621595137286377, 0.08598337477579725]","[[7, 8, 9, 10, 11]]","[[0.09400186507817064, -0.014947252957055292, -0.1758983484597374], [0.0933137634741904, -0.02338141871487538, -0.17534494804573791], [0.0901379467462502, -0.031267076316605726, -0.17577690546537028], [0.0, 0.0, 0.0], [0.0856955357119446, -0.047565076364299026, -0.17433828801930237], [0.08416520294535845, -0.056902304946412643, -0.17227404419979256], [0.06569113839718324, -0.04450830446224343, -0.18358563443248596], [0.05773467036655194, -0.04708721587767723, -0.18560577021890945], [0.052517935665807376, -0.05256126662677169, -0.18568570134501888], [0.04610131954135047, -0.05743279313049491, -0.1859466122567875], [0.03943759140050095, -0.06196440232413093, -0.18602443180706232], [0.033144294184517024, -0.06588167415218187, -0.18590605362364057]]","[[[0.09400186507817064, -0.014947252957055292, -0.1758983484597374], [0.0933137634741904, -0.02338141871487538, -0.17534494804573791], [0.0901379467462502, -0.031267076316605726, -0.17577690546537028], [0.0, 0.0, 0.0], [0.0856955357119446, -0.047565076364299026, -0.17433828801930237], [0.08416520294535845, -0.056902304946412643, -0.17227404419979256], [0.0, -0.0, -0.0], [0.05697301887439828, -0.04417476951441003, -0.1865547234960461], [0.052173648122768375, -0.04862997064052044, -0.18685030478183243], [0.046377928660206076, -0.053300977032487935, -0.18710449909227472], [0.04027494534839798, -0.05763258290148877, -0.18723358183105557], [0.034517588671639156, -0.0613072638770275, -0.18721633333715315]]]",0.0,0.0,0.9166666666666666,12.0,data\results\qaoa_depth_ablation_30seed\qubo_fit_seed11.csv,,,
11,q1_catalog_halo_phase_shift_cardinality_prior,catalog_halo_phase_shift,exact_qubo_top24,qaoa_depth_ablation,,011111111111,011111111111,011111111111,identity,original solver candidate schedule,0.814553025687213,0.3771197380746664,0.4056281761313686,0.028508438056702168,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.09090909090909091,24,96,120,120,0.19564429999445565,branch_recovery,True,0.0690121126015381,0.09407452909228246,0.09407452909228246,0.10178662412865784,20,14.07040889999189,0.09166666666666667,0.08333333333333333,0.08333333333333333,feedback,[6],[0.09407452909228246],"[0.0690121126015381, 0.10178662412865784, 0.0998623451721799, 0.09812797774932111, 0.09658569584294052, 0.09523420273368018, 0.09407452909228246, 0.09309655317253755, 0.092294037311658, 0.09167335195843686, 0.09123922745878878, 0.09099749503273984]","[[7, 8, 9, 10, 11]]","[[0.0, 0.0, 0.0], [0.08223274552051882, -0.017029940426727723, -0.18151516931986622], [0.08505603085580415, -0.02561816616027596, -0.1791903490080897], [0.08300564855876853, -0.03343545177217302, -0.1788634475574283], [0.0800169054580801, -0.04132390961140016, -0.17857667634756086], [0.07565368703647932, -0.04854847731264033, -0.17866047405179047], [0.07107157111328581, -0.05373774976534021, -0.1790560974377774], [0.05814617288524505, -0.0532281609251135, -0.1838091005998599], [0.05836342346979009, -0.06245428531386829, -0.18081253564623195], [0.0520503372547901, -0.06724520582591194, -0.18102166910371079], [0.04521908225341541, -0.07158089530082916, -0.18119439844567653], [0.038806426649142585, -0.0753362882327794, -0.18115878373965835]]","[[[0.0, 0.0, 0.0], [0.08223274552051882, -0.017029940426727723, -0.18151516931986622], [0.08505603085580415, -0.02561816616027596, -0.1791903490080897], [0.08300564855876853, -0.03343545177217302, -0.1788634475574283], [0.0800169054580801, -0.04132390961140016, -0.17857667634756086], [0.07565368703647932, -0.04854847731264033, -0.17866047405179047], [0.0, -0.0, -0.0], [0.06448063048328197, -0.05742275331656504, -0.18040198361997956], [0.059027551692847076, -0.061482796914148014, -0.18092985885354002], [0.05279051763855741, -0.06562760776537739, -0.18140060183595572], [0.046335697017936106, -0.06952353686073824, -0.18171263303423787], [0.04036059263007045, -0.07286858301510438, -0.18182736914975242]]]",0.0,0.0,0.9166666666666666,12.0,data\results\qaoa_depth_ablation_30seed\qubo_fit_seed11.csv,,,
11,q1_catalog_halo_phase_shift_cardinality_prior,catalog_halo_phase_shift,qaoa_random_p1,qaoa_depth_ablation,,010111111111,010111111111,010111111111,identity,original solver candidate schedule,0.8582021479171141,0.35553189308375593,0.3837883608002381,0.02825646771648216,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.2727272727272727,24,96,120,120,0.3336457999976119,branch_recovery,False,0.09979958812261627,0.12593070342942508,0.12593070342942508,0.1340790414123453,17,15.231335300006322,0.08333333333333333,0.07499999999999998,0.07499999999999998,feedback,[6],[0.12593070342942508],"[0.09979958812261627, 0.1340790414123453, 0.09979958812261627, 0.1302289333477776, 0.12860487224395095, 0.1271740183331195, 0.12593070342942508, 0.12488094732518978, 0.12401853278033323, 0.12334934104132239, 0.12287984426786985, 0.1226196913941696]","[[7, 8, 9, 10, 11]]","[[0.0, 0.0, 0.0], [0.08638460715513874, -0.017990547714968032, -0.17948270066936206], [0.0, 0.0, 0.0], [0.08137199617952003, -0.030671553925323662, -0.180105119354132], [0.0780495399044746, -0.037303130312776975, -0.18032400225585005], [0.07419939665399526, -0.04382520005963007, -0.18048213589138534], [0.06950774291423717, -0.04983937616394295, -0.18078913202556537], [0.0644244871745574, -0.056293128006330816, -0.18077767890853713], [0.05828511413748383, -0.062159943595971434, -0.18093918006370574], [0.051636706815309505, -0.06759145431794253, -0.18101117593246904], [0.04512741269269304, -0.07266850893521856, -0.18078386109604871], [0.03893726819641339, -0.07686412957134132, -0.18048765811168535]]","[[[0.0, 0.0, 0.0], [0.08638460715513874, -0.017990547714968032, -0.17948270066936206], [0.0, 0.0, 0.0], [0.08137199617952003, -0.030671553925323662, -0.180105119354132], [0.0780495399044746, -0.037303130312776975, -0.18032400225585005], [0.07419939665399526, -0.04382520005963007, -0.18048213589138534], [0.0, -0.0, -0.0], [0.06417432288963287, -0.05687239333665749, -0.1806853263489254], [0.05856629664893589, -0.06193930617615951, -0.18092404828337447], [0.052533436504090564, -0.06707728852671815, -0.1809443986780859], [0.04602158565105614, -0.07146597826860143, -0.18103764140165518], [0.04083490881476191, -0.07682534402040889, -0.18008436006004494]]]",0.08333333333333318,-0.08333333333333326,0.9166666666666666,12.0,data\results\qaoa_depth_ablation_30seed\qubo_fit_seed11.csv,3.2655704581888063,random_trials,1.0
11,q1_catalog_halo_phase_shift_cardinality_prior,catalog_halo_phase_shift,qaoa_optimized_p1,qaoa_depth_ablation,,011111111111,011111111111,011111111111,identity,original solver candidate schedule,0.814553025687213,0.3771197380746664,0.4056281761313686,0.028508438056702168,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.09090909090909091,24,96,120,120,0.36069129999668803,branch_recovery,True,0.0690121126015381,0.09407452909228246,0.09407452909228246,0.10178662412865784,20,14.082493900001282,0.09166666666666667,0.08333333333333333,0.08333333333333333,feedback,[6],[0.09407452909228246],"[0.0690121126015381, 0.10178662412865784, 0.0998623451721799, 0.09812797774932111, 0.09658569584294052, 0.09523420273368018, 0.09407452909228246, 0.09309655317253755, 0.092294037311658, 0.09167335195843686, 0.09123922745878878, 0.09099749503273984]","[[7, 8, 9, 10, 11]]","[[0.0, 0.0, 0.0], [0.08223274552051882, -0.017029940426727723, -0.18151516931986622], [0.08505603085580415, -0.02561816616027596, -0.1791903490080897], [0.08300564855876853, -0.03343545177217302, -0.1788634475574283], [0.0800169054580801, -0.04132390961140016, -0.17857667634756086], [0.07565368703647932, -0.04854847731264033, -0.17866047405179047], [0.07107157111328581, -0.05373774976534021, -0.1790560974377774], [0.05814617288524505, -0.0532281609251135, -0.1838091005998599], [0.05836342346979009, -0.06245428531386829, -0.18081253564623195], [0.0520503372547901, -0.06724520582591194, -0.18102166910371079], [0.04521908225341541, -0.07158089530082916, -0.18119439844567653], [0.038806426649142585, -0.0753362882327794, -0.18115878373965835]]","[[[0.0, 0.0, 0.0], [0.08223274552051882, -0.017029940426727723, -0.18151516931986622], [0.08505603085580415, -0.02561816616027596, -0.1791903490080897], [0.08300564855876853, -0.03343545177217302, -0.1788634475574283], [0.0800169054580801, -0.04132390961140016, -0.17857667634756086], [0.07565368703647932, -0.04854847731264033, -0.17866047405179047], [0.0, -0.0, -0.0], [0.06448063048328197, -0.05742275331656504, -0.18040198361997956], [0.059027551692847076, -0.061482796914148014, -0.18092985885354002], [0.05279051763855741, -0.06562760776537739, -0.18140060183595572], [0.046335697017936106, -0.06952353686073824, -0.18171263303423787], [0.04036059263007045, -0.07286858301510438, -0.18182736914975242]]]",0.0,0.0,0.9166666666666666,12.0,data\results\qaoa_depth_ablation_30seed\qubo_fit_seed11.csv,3.256237398059067,scipy_minimize,1.0
11,q1_catalog_halo_phase_shift_cardinality_prior,catalog_halo_phase_shift,qaoa_optimized_p2,qaoa_depth_ablation,,011111111111,011111111111,011111111111,identity,original solver candidate schedule,0.814553025687213,0.3771197380746664,0.4056281761313686,0.028508438056702168,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.09090909090909091,24,96,120,120,0.4232668000040576,branch_recovery,True,0.0690121126015381,0.09407452909228246,0.09407452909228246,0.10178662412865784,20,13.252469099999871,0.09166666666666667,0.08333333333333333,0.08333333333333333,feedback,[6],[0.09407452909228246],"[0.0690121126015381, 0.10178662412865784, 0.0998623451721799, 0.09812797774932111, 0.09658569584294052, 0.09523420273368018, 0.09407452909228246, 0.09309655317253755, 0.092294037311658, 0.09167335195843686, 0.09123922745878878, 0.09099749503273984]","[[7, 8, 9, 10, 11]]","[[0.0, 0.0, 0.0], [0.08223274552051882, -0.017029940426727723, -0.18151516931986622], [0.08505603085580415, -0.02561816616027596, -0.1791903490080897], [0.08300564855876853, -0.03343545177217302, -0.1788634475574283], [0.0800169054580801, -0.04132390961140016, -0.17857667634756086], [0.07565368703647932, -0.04854847731264033, -0.17866047405179047], [0.07107157111328581, -0.05373774976534021, -0.1790560974377774], [0.05814617288524505, -0.0532281609251135, -0.1838091005998599], [0.05836342346979009, -0.06245428531386829, -0.18081253564623195], [0.0520503372547901, -0.06724520582591194, -0.18102166910371079], [0.04521908225341541, -0.07158089530082916, -0.18119439844567653], [0.038806426649142585, -0.0753362882327794, -0.18115878373965835]]","[[[0.0, 0.0, 0.0], [0.08223274552051882, -0.017029940426727723, -0.18151516931986622], [0.08505603085580415, -0.02561816616027596, -0.1791903490080897], [0.08300564855876853, -0.03343545177217302, -0.1788634475574283], [0.0800169054580801, -0.04132390961140016, -0.17857667634756086], [0.07565368703647932, -0.04854847731264033, -0.17866047405179047], [0.0, -0.0, -0.0], [0.06448063048328197, -0.05742275331656504, -0.18040198361997956], [0.059027551692847076, -0.061482796914148014, -0.18092985885354002], [0.05279051763855741, -0.06562760776537739, -0.18140060183595572], [0.046335697017936106, -0.06952353686073824, -0.18171263303423787], [0.04036059263007045, -0.07286858301510438, -0.18182736914975242]]]",0.0,0.0,0.9166666666666666,12.0,data\results\qaoa_depth_ablation_30seed\qubo_fit_seed11.csv,0.9901640465611881,scipy_minimize,2.0
23,q1_catalog_halo_phase_shift_cardinality_prior,catalog_halo_phase_shift,surrogate_qubo_sa,qaoa_depth_ablation,,011111111111,011111111111,011111111111,identity,original solver candidate schedule,0.814553025687213,0.3771197380746664,0.4056281761313686,0.028508438056702168,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.09090909090909091,24,96,120,120,0.27854060000390746,branch_recovery,True,0.0690121126015381,0.09407452909228246,0.09407452909228246,0.10178662412865784,20,13.801017299992964,0.09166666666666667,0.08333333333333333,0.08333333333333333,feedback,[6],[0.09407452909228246],"[0.0690121126015381, 0.10178662412865784, 0.0998623451721799, 0.09812797774932111, 0.09658569584294052, 0.09523420273368018, 0.09407452909228246, 0.09309655317253755, 0.092294037311658, 0.09167335195843686, 0.09123922745878878, 0.09099749503273984]","[[7, 8, 9, 10, 11]]","[[0.0, 0.0, 0.0], [0.08223274552051882, -0.017029940426727723, -0.18151516931986622], [0.08505603085580415, -0.02561816616027596, -0.1791903490080897], [0.08300564855876853, -0.03343545177217302, -0.1788634475574283], [0.0800169054580801, -0.04132390961140016, -0.17857667634756086], [0.07565368703647932, -0.04854847731264033, -0.17866047405179047], [0.07107157111328581, -0.05373774976534021, -0.1790560974377774], [0.05814617288524505, -0.0532281609251135, -0.1838091005998599], [0.05836342346979009, -0.06245428531386829, -0.18081253564623195], [0.0520503372547901, -0.06724520582591194, -0.18102166910371079], [0.04521908225341541, -0.07158089530082916, -0.18119439844567653], [0.038806426649142585, -0.0753362882327794, -0.18115878373965835]]","[[[0.0, 0.0, 0.0], [0.08223274552051882, -0.017029940426727723, -0.18151516931986622], [0.08505603085580415, -0.02561816616027596, -0.1791903490080897], [0.08300564855876853, -0.03343545177217302, -0.1788634475574283], [0.0800169054580801, -0.04132390961140016, -0.17857667634756086], [0.07565368703647932, -0.04854847731264033, -0.17866047405179047], [0.0, -0.0, -0.0], [0.06448063048328197, -0.05742275331656504, -0.18040198361997956], [0.059027551692847076, -0.061482796914148014, -0.18092985885354002], [0.05279051763855741, -0.06562760776537739, -0.18140060183595572], [0.046335697017936106, -0.06952353686073824, -0.18171263303423787], [0.04036059263007045, -0.07286858301510438, -0.18182736914975242]]]",0.0,0.0,0.9166666666666666,12.0,data\results\qaoa_depth_ablation_30seed\qubo_fit_seed23.csv,,,
23,q1_catalog_halo_phase_shift_cardinality_prior,catalog_halo_phase_shift,exact_qubo_top24,qaoa_depth_ablation,,111101111111,111101111111,111101111111,identity,original solver candidate schedule,0.836628474916579,0.3869416196516856,0.41564191819089985,0.028700298539214242,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.18181818181818182,24,96,120,120,0.28507350001018494,branch_recovery,True,0.06326787408374276,0.08814672066722083,0.08814672066722083,0.09747365136638225,35,35.898251100006746,0.09166666666666667,0.08333333333333331,0.08333333333333331,feedback,[6],[0.08814672066722083],"[0.09747365136638225, 0.09535964276227009, 0.09348168705848225, 0.09177955093203585, 0.06326787408374276, 0.08887682555430118, 0.08814672066722083, 0.08692857433807312, 0.08615169220551916, 0.08555406815599619, 0.08513833681952118, 0.08490872270541579]","[[7, 8, 9, 10, 11]]","[[0.09589596242858098, -0.01625075976547354, -0.17475662275559417], [0.09596082782797499, -0.025479652369685052, -0.17361539919514557], [0.09255134970719064, -0.03327734187665906, -0.17414610585655155], [0.09035642388845071, -0.04248304184086858, -0.17329428097325553], [0.0, 0.0, 0.0], [0.08934513537872255, -0.061473820371666356, -0.16804289985914264], [0.06509662779723852, -0.04294668791158697, -0.18416843118963833], [0.05689850834671278, -0.04500595379402975, -0.1863787108846091], [0.05101429523505696, -0.04985744988701395, -0.18684693300248295], [0.0446757423628524, -0.054619754696259376, -0.1871383457264932], [0.038141632685899256, -0.05910173187126115, -0.18722233078848127], [0.031981225042081375, -0.06300224956709845, -0.18710402933740575]]","[[[0.09589596242858098, -0.01625075976547354, -0.17475662275559417], [0.09596082782797499, -0.025479652369685052, -0.17361539919514557], [0.09255134970719064, -0.03327734187665906, -0.17414610585655155], [0.09035642388845071, -0.04248304184086858, -0.17329428097325553], [0.0, 0.0, 0.0], [0.08934513537872255, -0.061473820371666356, -0.16804289985914264], [0.0, -0.0, -0.0], [0.05552769298575197, -0.041216770665407965, -0.18766420310649345], [0.05050993818811696, -0.04562481975844383, -0.18806148453695168], [0.0448245568557685, -0.05020569283571785, -0.1883351998686638], [0.03889991287160507, -0.05450246317252152, -0.18845762995089765], [0.03331684620489686, -0.05816317870418752, -0.1884330979472131]]]",0.0,0.0,0.9166666666666666,12.0,data\results\qaoa_depth_ablation_30seed\qubo_fit_seed23.csv,,,
23,q1_catalog_halo_phase_shift_cardinality_prior,catalog_halo_phase_shift,qaoa_random_p1,qaoa_depth_ablation,,001111111111,001111111111,001111111111,identity,original solver candidate schedule,0.8463600307200632,0.3530983429532351,0.38130672339624566,0.02820838044301055,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.09090909090909091,24,96,120,120,0.2958212000085041,branch_recovery,False,0.1017331766442661,0.12792099166140974,0.12792099166140974,0.1340747437657945,23,19.646962099999655,0.08333333333333333,0.07499999999999998,0.07499999999999998,feedback,[6],[0.12792099166140974],"[0.1017331766442661, 0.1017331766442661, 0.1340747437657945, 0.1322393902915875, 0.13060339817642921, 0.12916178627323727, 0.12792099166140974, 0.12685130296416844, 0.12598131953367764, 0.12530686511949932, 0.12483396337272575, 0.12456980238943317]","[[7, 8, 9, 10, 11]]","[[0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.08453700685129194, -0.02497644424244772, -0.17952624238709095], [0.08178564715240667, -0.03146573984417829, -0.1797804637215082], [0.0783942411130856, -0.03814072144578972, -0.17999896757453382], [0.07449359043612443, -0.044841499366681976, -0.18011092392879122], [0.06935231259671688, -0.050095769423085364, -0.1807779594513566], [0.06418928966617664, -0.05606250152104515, -0.18093294618547082], [0.05775944784694228, -0.061011390309781414, -0.1814978138625473], [0.05186688674143559, -0.06625510334846053, -0.1814389355679643], [0.04633723687517689, -0.07267579113015446, -0.18047462387377325], [0.04153318812566067, -0.07707178053664814, -0.17981917286271015]]","[[[0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.08453700685129194, -0.02497644424244772, -0.17952624238709095], [0.08178564715240667, -0.03146573984417829, -0.1797804637215082], [0.0783942411130856, -0.03814072144578972, -0.17999896757453382], [0.07449359043612443, -0.044841499366681976, -0.18011092392879122], [0.0, -0.0, -0.0], [0.06482794496053101, -0.0541274204492604, -0.18129412540869425], [0.05928323514798933, -0.059301543273487245, -0.18157319459592852], [0.054197152374413644, -0.06535153231317684, -0.18108518961755102], [0.04678581004011201, -0.06890915936549256, -0.1818312837067145], [0.04040760063794399, -0.07643097152958357, -0.18034836401178805]]]",0.08333333333333318,-0.08333333333333326,0.9166666666666666,12.0,data\results\qaoa_depth_ablation_30seed\qubo_fit_seed23.csv,3.263731453938061,random_trials,1.0
23,q1_catalog_halo_phase_shift_cardinality_prior,catalog_halo_phase_shift,qaoa_optimized_p1,qaoa_depth_ablation,,011111111111,011111111111,011111111111,identity,original solver candidate schedule,0.814553025687213,0.3771197380746664,0.4056281761313686,0.028508438056702168,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.09090909090909091,24,96,120,120,0.2908260000112932,branch_recovery,True,0.0690121126015381,0.09407452909228246,0.09407452909228246,0.10178662412865784,20,14.089697100003832,0.09166666666666667,0.08333333333333333,0.08333333333333333,feedback,[6],[0.09407452909228246],"[0.0690121126015381, 0.10178662412865784, 0.0998623451721799, 0.09812797774932111, 0.09658569584294052, 0.09523420273368018, 0.09407452909228246, 0.09309655317253755, 0.092294037311658, 0.09167335195843686, 0.09123922745878878, 0.09099749503273984]","[[7, 8, 9, 10, 11]]","[[0.0, 0.0, 0.0], [0.08223274552051882, -0.017029940426727723, -0.18151516931986622], [0.08505603085580415, -0.02561816616027596, -0.1791903490080897], [0.08300564855876853, -0.03343545177217302, -0.1788634475574283], [0.0800169054580801, -0.04132390961140016, -0.17857667634756086], [0.07565368703647932, -0.04854847731264033, -0.17866047405179047], [0.07107157111328581, -0.05373774976534021, -0.1790560974377774], [0.05814617288524505, -0.0532281609251135, -0.1838091005998599], [0.05836342346979009, -0.06245428531386829, -0.18081253564623195], [0.0520503372547901, -0.06724520582591194, -0.18102166910371079], [0.04521908225341541, -0.07158089530082916, -0.18119439844567653], [0.038806426649142585, -0.0753362882327794, -0.18115878373965835]]","[[[0.0, 0.0, 0.0], [0.08223274552051882, -0.017029940426727723, -0.18151516931986622], [0.08505603085580415, -0.02561816616027596, -0.1791903490080897], [0.08300564855876853, -0.03343545177217302, -0.1788634475574283], [0.0800169054580801, -0.04132390961140016, -0.17857667634756086], [0.07565368703647932, -0.04854847731264033, -0.17866047405179047], [0.0, -0.0, -0.0], [0.06448063048328197, -0.05742275331656504, -0.18040198361997956], [0.059027551692847076, -0.061482796914148014, -0.18092985885354002], [0.05279051763855741, -0.06562760776537739, -0.18140060183595572], [0.046335697017936106, -0.06952353686073824, -0.18171263303423787], [0.04036059263007045, -0.07286858301510438, -0.18182736914975242]]]",0.0,0.0,0.9166666666666666,12.0,data\results\qaoa_depth_ablation_30seed\qubo_fit_seed23.csv,3.2140604433651294,scipy_minimize,1.0
23,q1_catalog_halo_phase_shift_cardinality_prior,catalog_halo_phase_shift,qaoa_optimized_p2,qaoa_depth_ablation,,111011111111,111011111111,111011111111,identity,original solver candidate schedule,0.8325831666823303,0.3847893829985838,0.41344420266207643,0.028654819663492648,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.18181818181818182,24,96,120,120,0.3468706999992719,branch_recovery,True,0.06426221533116859,0.08918526287155164,0.08918526287155164,0.09864826621167301,35,36.6678447000013,0.09166666666666667,0.08333333333333333,0.08333333333333333,feedback,[6],[0.08918526287155164],"[0.09864826621167301, 0.096535165065391, 0.09464095490539474, 0.06426221533116859, 0.09142264811470503, 0.09007215355666426, 0.08918526287155164, 0.08801950829022738, 0.08724029679768151, 0.08663658604226952, 0.08621595137286377, 0.08598337477579725]","[[7, 8, 9, 10, 11]]","[[0.09400186507817064, -0.014947252957055292, -0.1758983484597374], [0.0933137634741904, -0.02338141871487538, -0.17534494804573791], [0.0901379467462502, -0.031267076316605726, -0.17577690546537028], [0.0, 0.0, 0.0], [0.0856955357119446, -0.047565076364299026, -0.17433828801930237], [0.08416520294535845, -0.056902304946412643, -0.17227404419979256], [0.06569113839718324, -0.04450830446224343, -0.18358563443248596], [0.05773467036655194, -0.04708721587767723, -0.18560577021890945], [0.052517935665807376, -0.05256126662677169, -0.18568570134501888], [0.04610131954135047, -0.05743279313049491, -0.1859466122567875], [0.03943759140050095, -0.06196440232413093, -0.18602443180706232], [0.033144294184517024, -0.06588167415218187, -0.18590605362364057]]","[[[0.09400186507817064, -0.014947252957055292, -0.1758983484597374], [0.0933137634741904, -0.02338141871487538, -0.17534494804573791], [0.0901379467462502, -0.031267076316605726, -0.17577690546537028], [0.0, 0.0, 0.0], [0.0856955357119446, -0.047565076364299026, -0.17433828801930237], [0.08416520294535845, -0.056902304946412643, -0.17227404419979256], [0.0, -0.0, -0.0], [0.05697301887439828, -0.04417476951441003, -0.1865547234960461], [0.052173648122768375, -0.04862997064052044, -0.18685030478183243], [0.046377928660206076, -0.053300977032487935, -0.18710449909227472], [0.04027494534839798, -0.05763258290148877, -0.18723358183105557], [0.034517588671639156, -0.0613072638770275, -0.18721633333715315]]]",0.0,0.0,0.9166666666666666,12.0,data\results\qaoa_depth_ablation_30seed\qubo_fit_seed23.csv,1.0294336878795374,scipy_minimize,2.0
