seed,benchmark_label,target_mode,method,comparison_group,diagnostic_notes,schedule,refined_schedule,refinement_candidate_schedule,schedule_repair,refined_schedule_source,objective,nominal_error,worst_error,robust_degradation,active_fraction,refinement_candidate_active_fraction,refined_active_fraction,smoothness,solver_true_evaluations,shared_qubo_training_evaluations,total_true_evaluations_including_training,true_evaluations,runtime_seconds,refinement_mode,refinement_success,refined_nominal_error,refined_worst_error,refined_selected_worst_error,refined_all_mask_worst_error,refinement_nfev,refinement_runtime_seconds,refined_nominal_fuel,refined_recovery_fuel_mean,refined_recovery_fuel_max,best_initial_guess,selected_outage_indices,selected_outage_errors,all_outage_errors,recovery_indices,refined_controls,refined_recovery_controls,active_target_penalty,active_target_deviation,target_active_fraction,target_active_weight
11,q1_catalog_halo_phase_shift_cardinality_prior,catalog_halo_phase_shift,random,method_comparison,,101111110111,101111110111,101111110111,identity,original solver candidate schedule,0.9550081193534887,0.40557992996729153,0.43425121165910946,0.02867128169181793,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.36363636363636365,120,0,120,120,1.7368147000015597,branch_recovery,False,0.09021195097525651,0.11605400288616881,0.11605400288616881,0.12601634142302143,34,31.8595107000001,0.08333333333333331,0.075,0.075,feedback,[6],[0.11605400288616881],"[0.12601634142302143, 0.09021195097525651, 0.12190202057023682, 0.12015242816927069, 0.11859768376722042, 0.11723195498651987, 0.11605400288616881, 0.11505155143900216, 0.09021195097525651, 0.11360567948926403, 0.11316549482668001, 0.11292306448203311]","[[7, 9, 10, 11]]","[[0.08833858240464974, -0.012203176584330518, -0.17901781291253827], [0.0, 0.0, 0.0], [0.0842509720811987, -0.025062954495973077, -0.1796486070508365], [0.08125561632729425, -0.03203227037670076, -0.17992070050382053], [0.07771195007743668, -0.03881081834734692, -0.18015152842640894], [0.07355509680676171, -0.0454347608826215, -0.18034780352775834], [0.06962316707978453, -0.05202472402479596, -0.1801278509723697], [0.06155090834564636, -0.05520791232205293, -0.18210868210732392], [0.0, 0.0, 0.0], [0.050424541165388824, -0.06476528969253212, -0.18238098283346982], [0.04355625662728977, -0.06969078668018004, -0.18233498501526063], [0.03714892326818533, -0.07369076154149644, -0.18218021068010867]]","[[[0.08833858240464974, -0.012203176584330518, -0.17901781291253827], [0.0, 0.0, 0.0], [0.0842509720811987, -0.025062954495973077, -0.1796486070508365], [0.08125561632729425, -0.03203227037670076, -0.17992070050382053], [0.07771195007743668, -0.03881081834734692, -0.18015152842640894], [0.07355509680676171, -0.0454347608826215, -0.18034780352775834], [0.0, -0.0, -0.0], [0.06248562656247738, -0.05420539458553071, -0.18209152004121867], [0.0, 0.0, 0.0], [0.05227695466161721, -0.0639787064843862, -0.18213688568736422], [0.045612476329403635, -0.06919456976399774, -0.18202091505723964], [0.03918791991571809, -0.07282824299135876, -0.18209984611599997]]]",0.08333333333333318,-0.08333333333333326,0.9166666666666666,12.0
11,q1_catalog_halo_phase_shift_cardinality_prior,catalog_halo_phase_shift,cross_entropy,method_comparison,,011111111111,011111111111,011111111111,identity,original solver candidate schedule,0.814553025687213,0.3771197380746664,0.4056281761313686,0.028508438056702168,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.09090909090909091,120,0,120,120,1.7997357999993255,branch_recovery,True,0.0690121126015381,0.09407452909228246,0.09407452909228246,0.10178662412865784,20,14.870830699997896,0.09166666666666667,0.08333333333333333,0.08333333333333333,feedback,[6],[0.09407452909228246],"[0.0690121126015381, 0.10178662412865784, 0.0998623451721799, 0.09812797774932111, 0.09658569584294052, 0.09523420273368018, 0.09407452909228246, 0.09309655317253755, 0.092294037311658, 0.09167335195843686, 0.09123922745878878, 0.09099749503273984]","[[7, 8, 9, 10, 11]]","[[0.0, 0.0, 0.0], [0.08223274552051882, -0.017029940426727723, -0.18151516931986622], [0.08505603085580415, -0.02561816616027596, -0.1791903490080897], [0.08300564855876853, -0.03343545177217302, -0.1788634475574283], [0.0800169054580801, -0.04132390961140016, -0.17857667634756086], [0.07565368703647932, -0.04854847731264033, -0.17866047405179047], [0.07107157111328581, -0.05373774976534021, -0.1790560974377774], [0.05814617288524505, -0.0532281609251135, -0.1838091005998599], [0.05836342346979009, -0.06245428531386829, -0.18081253564623195], [0.0520503372547901, -0.06724520582591194, -0.18102166910371079], [0.04521908225341541, -0.07158089530082916, -0.18119439844567653], [0.038806426649142585, -0.0753362882327794, -0.18115878373965835]]","[[[0.0, 0.0, 0.0], [0.08223274552051882, -0.017029940426727723, -0.18151516931986622], [0.08505603085580415, -0.02561816616027596, -0.1791903490080897], [0.08300564855876853, -0.03343545177217302, -0.1788634475574283], [0.0800169054580801, -0.04132390961140016, -0.17857667634756086], [0.07565368703647932, -0.04854847731264033, -0.17866047405179047], [0.0, -0.0, -0.0], [0.06448063048328197, -0.05742275331656504, -0.18040198361997956], [0.059027551692847076, -0.061482796914148014, -0.18092985885354002], [0.05279051763855741, -0.06562760776537739, -0.18140060183595572], [0.046335697017936106, -0.06952353686073824, -0.18171263303423787], [0.04036059263007045, -0.07286858301510438, -0.18182736914975242]]]",0.0,0.0,0.9166666666666666,12.0
11,q1_catalog_halo_phase_shift_cardinality_prior,catalog_halo_phase_shift,genetic,method_comparison,,011111111111,011111111111,011111111111,identity,original solver candidate schedule,0.814553025687213,0.3771197380746664,0.4056281761313686,0.028508438056702168,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.09090909090909091,120,0,120,120,1.8016002999975171,branch_recovery,True,0.0690121126015381,0.09407452909228246,0.09407452909228246,0.10178662412865784,20,14.71363570000176,0.09166666666666667,0.08333333333333333,0.08333333333333333,feedback,[6],[0.09407452909228246],"[0.0690121126015381, 0.10178662412865784, 0.0998623451721799, 0.09812797774932111, 0.09658569584294052, 0.09523420273368018, 0.09407452909228246, 0.09309655317253755, 0.092294037311658, 0.09167335195843686, 0.09123922745878878, 0.09099749503273984]","[[7, 8, 9, 10, 11]]","[[0.0, 0.0, 0.0], [0.08223274552051882, -0.017029940426727723, -0.18151516931986622], [0.08505603085580415, -0.02561816616027596, -0.1791903490080897], [0.08300564855876853, -0.03343545177217302, -0.1788634475574283], [0.0800169054580801, -0.04132390961140016, -0.17857667634756086], [0.07565368703647932, -0.04854847731264033, -0.17866047405179047], [0.07107157111328581, -0.05373774976534021, -0.1790560974377774], [0.05814617288524505, -0.0532281609251135, -0.1838091005998599], [0.05836342346979009, -0.06245428531386829, -0.18081253564623195], [0.0520503372547901, -0.06724520582591194, -0.18102166910371079], [0.04521908225341541, -0.07158089530082916, -0.18119439844567653], [0.038806426649142585, -0.0753362882327794, -0.18115878373965835]]","[[[0.0, 0.0, 0.0], [0.08223274552051882, -0.017029940426727723, -0.18151516931986622], [0.08505603085580415, -0.02561816616027596, -0.1791903490080897], [0.08300564855876853, -0.03343545177217302, -0.1788634475574283], [0.0800169054580801, -0.04132390961140016, -0.17857667634756086], [0.07565368703647932, -0.04854847731264033, -0.17866047405179047], [0.0, -0.0, -0.0], [0.06448063048328197, -0.05742275331656504, -0.18040198361997956], [0.059027551692847076, -0.061482796914148014, -0.18092985885354002], [0.05279051763855741, -0.06562760776537739, -0.18140060183595572], [0.046335697017936106, -0.06952353686073824, -0.18171263303423787], [0.04036059263007045, -0.07286858301510438, -0.18182736914975242]]]",0.0,0.0,0.9166666666666666,12.0
11,q1_catalog_halo_phase_shift_cardinality_prior,catalog_halo_phase_shift,true_sa,method_comparison,,011111111111,011111111111,011111111111,identity,original solver candidate schedule,0.814553025687213,0.3771197380746664,0.4056281761313686,0.028508438056702168,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.09090909090909091,120,0,120,120,1.8329941000010876,branch_recovery,True,0.0690121126015381,0.09407452909228246,0.09407452909228246,0.10178662412865784,20,14.308977500000765,0.09166666666666667,0.08333333333333333,0.08333333333333333,feedback,[6],[0.09407452909228246],"[0.0690121126015381, 0.10178662412865784, 0.0998623451721799, 0.09812797774932111, 0.09658569584294052, 0.09523420273368018, 0.09407452909228246, 0.09309655317253755, 0.092294037311658, 0.09167335195843686, 0.09123922745878878, 0.09099749503273984]","[[7, 8, 9, 10, 11]]","[[0.0, 0.0, 0.0], [0.08223274552051882, -0.017029940426727723, -0.18151516931986622], [0.08505603085580415, -0.02561816616027596, -0.1791903490080897], [0.08300564855876853, -0.03343545177217302, -0.1788634475574283], [0.0800169054580801, -0.04132390961140016, -0.17857667634756086], [0.07565368703647932, -0.04854847731264033, -0.17866047405179047], [0.07107157111328581, -0.05373774976534021, -0.1790560974377774], [0.05814617288524505, -0.0532281609251135, -0.1838091005998599], [0.05836342346979009, -0.06245428531386829, -0.18081253564623195], [0.0520503372547901, -0.06724520582591194, -0.18102166910371079], [0.04521908225341541, -0.07158089530082916, -0.18119439844567653], [0.038806426649142585, -0.0753362882327794, -0.18115878373965835]]","[[[0.0, 0.0, 0.0], [0.08223274552051882, -0.017029940426727723, -0.18151516931986622], [0.08505603085580415, -0.02561816616027596, -0.1791903490080897], [0.08300564855876853, -0.03343545177217302, -0.1788634475574283], [0.0800169054580801, -0.04132390961140016, -0.17857667634756086], [0.07565368703647932, -0.04854847731264033, -0.17866047405179047], [0.0, -0.0, -0.0], [0.06448063048328197, -0.05742275331656504, -0.18040198361997956], [0.059027551692847076, -0.061482796914148014, -0.18092985885354002], [0.05279051763855741, -0.06562760776537739, -0.18140060183595572], [0.046335697017936106, -0.06952353686073824, -0.18171263303423787], [0.04036059263007045, -0.07286858301510438, -0.18182736914975242]]]",0.0,0.0,0.9166666666666666,12.0
11,q1_catalog_halo_phase_shift_cardinality_prior,catalog_halo_phase_shift,surrogate_qubo_sa,method_comparison,,011111111111,011111111111,011111111111,identity,original solver candidate schedule,0.814553025687213,0.3771197380746664,0.4056281761313686,0.028508438056702168,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.09090909090909091,24,96,120,120,0.37835899999845424,branch_recovery,True,0.0690121126015381,0.09407452909228246,0.09407452909228246,0.10178662412865784,20,14.78612019999855,0.09166666666666667,0.08333333333333333,0.08333333333333333,feedback,[6],[0.09407452909228246],"[0.0690121126015381, 0.10178662412865784, 0.0998623451721799, 0.09812797774932111, 0.09658569584294052, 0.09523420273368018, 0.09407452909228246, 0.09309655317253755, 0.092294037311658, 0.09167335195843686, 0.09123922745878878, 0.09099749503273984]","[[7, 8, 9, 10, 11]]","[[0.0, 0.0, 0.0], [0.08223274552051882, -0.017029940426727723, -0.18151516931986622], [0.08505603085580415, -0.02561816616027596, -0.1791903490080897], [0.08300564855876853, -0.03343545177217302, -0.1788634475574283], [0.0800169054580801, -0.04132390961140016, -0.17857667634756086], [0.07565368703647932, -0.04854847731264033, -0.17866047405179047], [0.07107157111328581, -0.05373774976534021, -0.1790560974377774], [0.05814617288524505, -0.0532281609251135, -0.1838091005998599], [0.05836342346979009, -0.06245428531386829, -0.18081253564623195], [0.0520503372547901, -0.06724520582591194, -0.18102166910371079], [0.04521908225341541, -0.07158089530082916, -0.18119439844567653], [0.038806426649142585, -0.0753362882327794, -0.18115878373965835]]","[[[0.0, 0.0, 0.0], [0.08223274552051882, -0.017029940426727723, -0.18151516931986622], [0.08505603085580415, -0.02561816616027596, -0.1791903490080897], [0.08300564855876853, -0.03343545177217302, -0.1788634475574283], [0.0800169054580801, -0.04132390961140016, -0.17857667634756086], [0.07565368703647932, -0.04854847731264033, -0.17866047405179047], [0.0, -0.0, -0.0], [0.06448063048328197, -0.05742275331656504, -0.18040198361997956], [0.059027551692847076, -0.061482796914148014, -0.18092985885354002], [0.05279051763855741, -0.06562760776537739, -0.18140060183595572], [0.046335697017936106, -0.06952353686073824, -0.18171263303423787], [0.04036059263007045, -0.07286858301510438, -0.18182736914975242]]]",0.0,0.0,0.9166666666666666,12.0
11,q1_catalog_halo_phase_shift_cardinality_prior,catalog_halo_phase_shift,qaoa_statevector,method_comparison,,111011111111,111011111111,111011111111,identity,original solver candidate schedule,0.8325831666823303,0.3847893829985838,0.41344420266207643,0.028654819663492648,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.18181818181818182,24,96,120,120,0.4472334000020055,branch_recovery,True,0.06426221533116859,0.08918526287155164,0.08918526287155164,0.09864826621167301,35,40.1403164000003,0.09166666666666667,0.08333333333333333,0.08333333333333333,feedback,[6],[0.08918526287155164],"[0.09864826621167301, 0.096535165065391, 0.09464095490539474, 0.06426221533116859, 0.09142264811470503, 0.09007215355666426, 0.08918526287155164, 0.08801950829022738, 0.08724029679768151, 0.08663658604226952, 0.08621595137286377, 0.08598337477579725]","[[7, 8, 9, 10, 11]]","[[0.09400186507817064, -0.014947252957055292, -0.1758983484597374], [0.0933137634741904, -0.02338141871487538, -0.17534494804573791], [0.0901379467462502, -0.031267076316605726, -0.17577690546537028], [0.0, 0.0, 0.0], [0.0856955357119446, -0.047565076364299026, -0.17433828801930237], [0.08416520294535845, -0.056902304946412643, -0.17227404419979256], [0.06569113839718324, -0.04450830446224343, -0.18358563443248596], [0.05773467036655194, -0.04708721587767723, -0.18560577021890945], [0.052517935665807376, -0.05256126662677169, -0.18568570134501888], [0.04610131954135047, -0.05743279313049491, -0.1859466122567875], [0.03943759140050095, -0.06196440232413093, -0.18602443180706232], [0.033144294184517024, -0.06588167415218187, -0.18590605362364057]]","[[[0.09400186507817064, -0.014947252957055292, -0.1758983484597374], [0.0933137634741904, -0.02338141871487538, -0.17534494804573791], [0.0901379467462502, -0.031267076316605726, -0.17577690546537028], [0.0, 0.0, 0.0], [0.0856955357119446, -0.047565076364299026, -0.17433828801930237], [0.08416520294535845, -0.056902304946412643, -0.17227404419979256], [0.0, -0.0, -0.0], [0.05697301887439828, -0.04417476951441003, -0.1865547234960461], [0.052173648122768375, -0.04862997064052044, -0.18685030478183243], [0.046377928660206076, -0.053300977032487935, -0.18710449909227472], [0.04027494534839798, -0.05763258290148877, -0.18723358183105557], [0.034517588671639156, -0.0613072638770275, -0.18721633333715315]]]",0.0,0.0,0.9166666666666666,12.0
11,q1_catalog_halo_phase_shift_cardinality_prior,catalog_halo_phase_shift,all_windows_continuous,method_comparison,,111111111111,111111111111,111111111111,identity,original solver candidate schedule,0.9518086862862225,0.40435561295296646,0.43322523366003873,0.028869620707072274,1.0,1.0,1.0,0.0,19,0,19,19,20.46690099999978,branch_recovery,True,0.03856720666013058,0.06006019530605116,0.06006019530605116,0.06904467217546138,19,20.46690099999978,0.1,0.09166666666666667,0.09166666666666667,feedback,[6],[0.06006019530605116],"[0.06904467217546138, 0.06707183846423007, 0.0653015398592814, 0.06372425977446343, 0.06233152803675836, 0.0611165831866334, 0.06006019530605116, 0.059200002405654394, 0.058496684598568126, 0.05795852148610246, 0.05758816839733601, 0.057387050862421456]","[[7, 8, 9, 10, 11]]","[[0.08550307050345214, -0.0074459275008244355, -0.18064823026571328], [0.08390019821538665, -0.014058144871785035, -0.1810058709052906], [0.08165684227228238, -0.021307735903197886, -0.1813233037995921], [0.07880294198944755, -0.02875486553804285, -0.18155785315346962], [0.0752796896059882, -0.036289077211588264, -0.18170325040559251], [0.07095130869906842, -0.04372109588989608, -0.18180862897034347], [0.0640497976193512, -0.04915313599929057, -0.18297976020958], [0.058698681686107125, -0.056650301624296545, -0.1826067033112128], [0.053023247145917766, -0.06428074530502828, -0.1818145237464076], [0.04604021437224461, -0.07060604141489298, -0.18137002391871757], [0.039084953470152055, -0.07672675726788074, -0.18051418540212227], [0.03276084718141735, -0.08141712203753636, -0.17971638526044512]]","[[[0.08550307050345214, -0.0074459275008244355, -0.18064823026571328], [0.08390019821538665, -0.014058144871785035, -0.1810058709052906], [0.08165684227228238, -0.021307735903197886, -0.1813233037995921], [0.07880294198944755, -0.02875486553804285, -0.18155785315346962], [0.0752796896059882, -0.036289077211588264, -0.18170325040559251], [0.07095130869906842, -0.04372109588989608, -0.18180862897034347], [0.0, -0.0, -0.0], [0.058752508082580146, -0.058785066453374446, -0.1819133275933314], [0.05391222781189824, -0.06388213898511391, -0.18169354421950323], [0.049252855434176915, -0.0709228634957918, -0.18039984386117788], [0.04121451299302377, -0.07376790089221878, -0.18127233853156874], [0.03514514248011611, -0.07727146093479337, -0.18109097240076613]]]",0.08333333333333341,0.08333333333333337,0.9166666666666666,12.0
23,q1_catalog_halo_phase_shift_cardinality_prior,catalog_halo_phase_shift,random,method_comparison,,111011111110,111011111110,111011111110,identity,original solver candidate schedule,0.9564444524105685,0.408306548324958,0.4369981533966048,0.02869160507164681,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.2727272727272727,120,0,120,120,1.8482662999995227,branch_recovery,True,0.08547423016169416,0.11115524050632655,0.11115524050632655,0.12089973070054551,26,24.38271320000058,0.08333333333333333,0.075,0.075,feedback,[6],[0.11115524050632655],"[0.12089973070054551, 0.11877878651673184, 0.11686765815415527, 0.08547423016169416, 0.11363912855707184, 0.11230685928646697, 0.11115524050632655, 0.11018820351776067, 0.10939904515919326, 0.10879157169925469, 0.10836950340098496, 0.08547423016169416]","[[7, 8, 9, 10]]","[[0.08744302982390435, -0.01162972994553977, -0.17949503033958794], [0.08548407586519642, -0.017978000369901406, -0.17991460273188828], [0.08284864974286803, -0.02475488698026212, -0.1803421659135157], [0.0, 0.0, 0.0], [0.07626369231386791, -0.037679389686779, -0.18100859876670924], [0.07199752590008544, -0.04452887149243576, -0.18120026453589044], [0.06843222552349872, -0.052190577742231896, -0.18053579729470015], [0.06180252420751682, -0.05684389982536402, -0.1815191974812121], [0.05576956927609616, -0.062324098658529024, -0.1816740539239455], [0.0494672663097014, -0.06747860673845292, -0.18165799513504025], [0.04329092495346966, -0.07192304986468262, -0.18152953124722002], [0.0, 0.0, 0.0]]","[[[0.08744302982390435, -0.01162972994553977, -0.17949503033958794], [0.08548407586519641, -0.017978000369901402, -0.17991460273188825], [0.08284864974286803, -0.02475488698026212, -0.1803421659135157], [0.0, 0.0, 0.0], [0.07626369231386791, -0.037679389686779, -0.18100859876670924], [0.07199752590008544, -0.04452887149243576, -0.18120026453589044], [0.0, -0.0, -0.0], [0.06285560656935474, -0.05694571046217863, -0.1811252571640858], [0.057300771472918094, -0.062119477453034935, -0.18126718431522654], [0.05110318081350786, -0.06705135652064043, -0.18136311780371417], [0.04520448008633448, -0.07147393620608818, -0.1812402588370813], [0.0, 0.0, 0.0]]]",0.08333333333333318,-0.08333333333333326,0.9166666666666666,12.0
23,q1_catalog_halo_phase_shift_cardinality_prior,catalog_halo_phase_shift,cross_entropy,method_comparison,,011111111111,011111111111,011111111111,identity,original solver candidate schedule,0.814553025687213,0.3771197380746664,0.4056281761313686,0.028508438056702168,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.09090909090909091,120,0,120,120,1.8160388999967836,branch_recovery,True,0.0690121126015381,0.09407452909228246,0.09407452909228246,0.10178662412865784,20,14.691639399999985,0.09166666666666667,0.08333333333333333,0.08333333333333333,feedback,[6],[0.09407452909228246],"[0.0690121126015381, 0.10178662412865784, 0.0998623451721799, 0.09812797774932111, 0.09658569584294052, 0.09523420273368018, 0.09407452909228246, 0.09309655317253755, 0.092294037311658, 0.09167335195843686, 0.09123922745878878, 0.09099749503273984]","[[7, 8, 9, 10, 11]]","[[0.0, 0.0, 0.0], [0.08223274552051882, -0.017029940426727723, -0.18151516931986622], [0.08505603085580415, -0.02561816616027596, -0.1791903490080897], [0.08300564855876853, -0.03343545177217302, -0.1788634475574283], [0.0800169054580801, -0.04132390961140016, -0.17857667634756086], [0.07565368703647932, -0.04854847731264033, -0.17866047405179047], [0.07107157111328581, -0.05373774976534021, -0.1790560974377774], [0.05814617288524505, -0.0532281609251135, -0.1838091005998599], [0.05836342346979009, -0.06245428531386829, -0.18081253564623195], [0.0520503372547901, -0.06724520582591194, -0.18102166910371079], [0.04521908225341541, -0.07158089530082916, -0.18119439844567653], [0.038806426649142585, -0.0753362882327794, -0.18115878373965835]]","[[[0.0, 0.0, 0.0], [0.08223274552051882, -0.017029940426727723, -0.18151516931986622], [0.08505603085580415, -0.02561816616027596, -0.1791903490080897], [0.08300564855876853, -0.03343545177217302, -0.1788634475574283], [0.0800169054580801, -0.04132390961140016, -0.17857667634756086], [0.07565368703647932, -0.04854847731264033, -0.17866047405179047], [0.0, -0.0, -0.0], [0.06448063048328197, -0.05742275331656504, -0.18040198361997956], [0.059027551692847076, -0.061482796914148014, -0.18092985885354002], [0.05279051763855741, -0.06562760776537739, -0.18140060183595572], [0.046335697017936106, -0.06952353686073824, -0.18171263303423787], [0.04036059263007045, -0.07286858301510438, -0.18182736914975242]]]",0.0,0.0,0.9166666666666666,12.0
23,q1_catalog_halo_phase_shift_cardinality_prior,catalog_halo_phase_shift,genetic,method_comparison,,101111111111,101111111111,101111111111,identity,original solver candidate schedule,0.8233486805154743,0.37987012405576354,0.40842933148880006,0.028559207433036526,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.18181818181818182,120,0,120,120,1.7215656000007584,branch_recovery,True,0.06746293796215647,0.09256463069979118,0.09256463069979118,0.10221278357521497,35,38.30650819999937,0.09166666666666665,0.08333333333333333,0.08333333333333333,feedback,[6],[0.09256463069979118],"[0.10221278357521497, 0.06746293796215647, 0.09814988389765913, 0.09642092061724106, 0.09488006471980402, 0.09351582479695719, 0.09256463069979118, 0.09140305031292727, 0.09060668778881464, 0.08999023314752275, 0.08956009938249605, 0.08932181774200024]","[[7, 8, 9, 10, 11]]","[[0.09240019813474232, -0.014241720104572097, -0.17680321488344997], [0.0, 0.0, 0.0], [0.08977532403531102, -0.02961267224422343, -0.17624834988422192], [0.08725803139275831, -0.0380361900647584, -0.17589566283117383], [0.08491074099943481, -0.04664150976792783, -0.1749706707694041], [0.08315221125855675, -0.05550627389937824, -0.17321883073332286], [0.06653010787751626, -0.045119819535518045, -0.18313368513435296], [0.05866525202678112, -0.04787221724568717, -0.18511250368523458], [0.053295860331901444, -0.05325943574923612, -0.18526463174377197], [0.04685659360961344, -0.058241518558367344, -0.18550575503557537], [0.04019425284876683, -0.06285277727961937, -0.18556387155415777], [0.03388665355386706, -0.0668253102054412, -0.18543482042719686]]","[[[0.09240019813474232, -0.014241720104572097, -0.17680321488344997], [0.0, 0.0, 0.0], [0.08977532403531102, -0.02961267224422343, -0.17624834988422192], [0.08725803139275831, -0.0380361900647584, -0.17589566283117383], [0.08491074099943481, -0.04664150976792783, -0.1749706707694041], [0.08315221125855675, -0.05550627389937824, -0.17321883073332286], [0.0, -0.0, -0.0], [0.05808477974015298, -0.04513067374473026, -0.1859822051968538], [0.05298501733785563, -0.04952711952488172, -0.1863857622493607], [0.04717514877333286, -0.05432081321796577, -0.18661123918336964], [0.041155343601304, -0.058901162916766996, -0.18664643232623304], [0.03539496279208543, -0.06274852058882345, -0.18657389895926196]]]",0.0,0.0,0.9166666666666666,12.0
